feature,importance
elo_rating_diff,0.55319345
glicko2_rd_diff,0.22245026
surface_win_pct_diff,0.11367459
h2h_win_pct_diff,0.03389696
glicko2_volatility_diff,0.023789657
glicko2_rating_diff,0.0233581
career_win_pct_diff,0.016182758
recent_form_diff,0.013454211
